NumeroScheda,Intestazione,Titolo,Anno,NumeroArchivio,Tecnica,Dimensioni,SegniRecto,SegniVerso,Collocazione,Provenienza,EsposizioniPersonali,EsposizioniCollettive,Bibliografia,Note,ImmagineRecto,ImmagineVerso,ImmagineLaterale,Illustrazione1,Illustrazione2,Illustrazione3,PaginePDF,TestoIntegrale
97,1930 p258,Composizione,1930,1930 p258,olio su tavola,cm 62 x 51,«Di Cocco 930» in basso a sinistra,[targhetta «Padiglione italiano Esposiz. Intern. New York»],"Galleria d’Arte Moderna, Roma, inv. AM B06",,"1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, Galleria Narciso, Torino.","1931, Prima Quadriennale d’Arte Nazionale, Palazzo delle Esposizioni, Roma;
[1939, World’s Fair, Exhibition of Italian Conteporary Art, New York];
1980, La Metafisica: gli anni Venti. Volume primo: pittura e scultura, Comune di Bologna, Assessorato alla Cultura, Galleria d'arte moderna, Bologna;
2013, Legami e corrispondenze. Immagini e parole attraverso il 900 romano, Galleria d'Arte Moderna, Roma;
2016, Roma Anni Trenta. La Galleria d’Arte Moderna e le Quadriennali d’Arte 1931 - 1935 – 1939, Galleria d'Arte Moderna, Roma;
2025, Sguardi sulla città, allestimento del Museo della Scuola Romana, Museo della Scuola Romana nel Casino Nobile di Villa Torlonia, Roma.","Prima Quadriennale d'Arte Nazionale, catalogo della mostra, Edizioni Enzo Pinci, Roma 1931, sala XXI-A, [n. 13], [n. 15], p. 109;
Antonio Muñoz, La Galleria Mussolini: d'arte moderna italiana in Campidoglio, catalogo della mostra, Arte della stampa, Roma 1931, ripr. tav. 100;
Alberto Francini, Sale collettive dei pittori romani, in «La Tribuna», Roma, 18 febbraio 1931;
Renato Pacini, Architettura e pittura alla Prima Quadriennale d’arte, in «La Stirpe», Roma, marzo 1931, p. 122;
Palma Bucarelli, La Galleria Nazionale d'arte moderna, Libreria dello Stato, Roma 1973, p. 137;
La Metafisica: gli anni Venti. Volume primo: pittura e scultura, catalogo della mostra, a cura di Renato Barilli, Franco Solmi, Graphis, Bologna 1980, ripr. p. 236;
Carlo Pirovano (a cura di), La pittura in Italia. Il Novecento, vol. II, Electa, Milano 1991, ripr. n. 721, p. 523;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit, Macerata 1984, ripr. n. 21, p. 14;
Luoghi figure nature morte. Opere della Galleria d'Arte Moderna di Roma Capitale, catalogo della mostra, a cura di Maria Elisa Tittoni, Maria Catalano, Federica Pirani, Cinzia Virno, De Luca, Roma 2011, p. 223;
Legami e corrispondenze. Immagini e parole attraverso il 900 romano, catalogo della mostra, a cura di Federica Pirani, Gloria Raimondi, Palombi Editori, Roma 2013, p. 183.","Sullo stato di conservazione dell’opera: Zètema progetto cultura (V. Antonini, S. Nisi) anno 2006, spolveratura del dipinto con pennello cinese; spolveratura della cornice e del retro del supporto con pennellessa e aspirapolvere museale e poi con panno in microfibra.",,,,,,,126-128,"Recto:
L’Elefante, 1930
Numero d’archivio: 1930 p257
Segni sul recto: «Di Cocco 30» in basso a destra
Esposizioni personali:
1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle
Esposizioni, Roma.
Esposizioni collettive:
1930, Prima mostra nazionale dell'animale nell'arte, Palazzo delle Esposizioni, Giardino
Zoologico, Roma.
Bibliografia:
Catalogo illustrato della I mostra nazionale dell'animale nell'arte, catalogo della mostra, Arti
Grafiche Enzo Pinci, Roma 1930, sala XVII, n. 6., p. 75, ripr. p. 13;
Corrado Pavolini, La I mostra nazionale dell'animale nell'arte, in «Rassegna dell'Istruzione
Artistica», Urbino, a. I, n. 1, marzo 1930, p. 174;
Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Enzo
Pinci, Roma 1932, sala XV, n. 7, p. 52."
98,1930 p257,L’Elefante,1930,1930 p257,,,«Di Cocco 30» in basso a destra,,,,"1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle Esposizioni, Roma.","1930, Prima mostra nazionale dell'animale nell'arte, Palazzo delle Esposizioni, Giardino Zoologico, Roma.","Catalogo illustrato della I mostra nazionale dell'animale nell'arte, catalogo della mostra, Arti Grafiche Enzo Pinci, Roma 1930, sala XVII, n. 6., p. 75, ripr. p. 13;
Corrado Pavolini, La I mostra nazionale dell'animale nell'arte, in «Rassegna dell'Istruzione Artistica», Urbino, a. I, n. 1, marzo 1930, p. 174;
Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Enzo Pinci, Roma 1932, sala XV, n. 7, p. 52.",,,,,,,,128,"Recto:
Bagnanti, 1930
Numero d’archivio: 1930 p260
Tecnica: olio su tela
Dimensioni: cm 90 x 135
Segni sul recto: no
Segni sul verso: non noto
Collocazione: non nota
Esposizioni collettive:
1931, Prima Quadriennale d’Arte Nazionale, Palazzo delle Esposizioni, Roma.
Bibliografia:
Prima Quadriennale d'Arte Nazionale, catalogo della mostra, Edizioni Enzo Pinci, Roma 1931, sala
XXI-A, n. 14, p. 109;
Francesco Trombadori, in «Gente Nostra», Roma, 21 gennaio 1931, ripr.;
Alberto Francini, Sale collettive dei pittori romani, in «La Tribuna», Roma, 18 febbraio 1931, ripr.;
Nino Bertocchi, Alla I Quadriennale. Romani e Scuola di Parigi, in «L'Italia Letteraria», Roma, 22
febbraio 1931, ripr.;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo
della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit,
Macerata 1984, ripr. n. 13, p. 11."
99,1930 p260,Bagnanti,1930,1930 p260,olio su tela,cm 90 x 135,no,non noto,non nota,,,"1931, Prima Quadriennale d’Arte Nazionale, Palazzo delle Esposizioni, Roma.","Prima Quadriennale d'Arte Nazionale, catalogo della mostra, Edizioni Enzo Pinci, Roma 1931, sala XXI-A, n. 14, p. 109;
Francesco Trombadori, in «Gente Nostra», Roma, 21 gennaio 1931, ripr.;
Alberto Francini, Sale collettive dei pittori romani, in «La Tribuna», Roma, 18 febbraio 1931, ripr.;
Nino Bertocchi, Alla I Quadriennale. Romani e Scuola di Parigi, in «L'Italia Letteraria», Roma, 22 febbraio 1931, ripr.;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit, Macerata 1984, ripr. n. 13, p. 11.",,,,,,,,129,"Recto:
[Nudo], 1930 ca.
Numero d’archivio: 1930 p310
Tecnica: olio su tavola
Dimensioni: 50 x 73,5
Segni sul recto: no
Segni sul verso: non noto
Collocazione: non nota
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Esposizioni collettive:
1988, Le Scuole Romane: sviluppi e continuità 1927 – 1988, Galleria d’Arte Moderna e
Contemporanea, Palazzo Forti, Verona.
Bibliografia:
Le Scuole Romane: sviluppi e continuità 1927 – 1988, catalogo della mostra, a cura di Fabio Benzi,
Enrico Mascelloni, Roberto Lambarelli, De Luca Mondadori, Roma Milano 1988, ripr. p. 62;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 44."
100,1930 p310,[Nudo],1930 ca.,1930 p310,olio su tavola,"50 x 73,5",no,non noto,non nota,,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.","1988, Le Scuole Romane: sviluppi e continuità 1927 – 1988, Galleria d’Arte Moderna e Contemporanea, Palazzo Forti, Verona.","Le Scuole Romane: sviluppi e continuità 1927 – 1988, catalogo della mostra, a cura di Fabio Benzi, Enrico Mascelloni, Roberto Lambarelli, De Luca Mondadori, Roma Milano 1988, ripr. p. 62;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 44.",,,,,,,,130,"Recto:
Verso:
[Ritratto di donna a braccia conserte], 1930-32
Numero d’archivio: 1930 p132
Tecnica: olio su tela
Dimensioni: cm 65 x 49
Segni sul recto: no
Segni sul verso: cartellino adesivo in alto a sinistra con il numero d’archivio «P.132»
Collocazione: collezione privata, Roma
Note:
Restauro Antonio Rava, 1991."
101,1930 p132,[Ritratto di donna a braccia conserte],1930-32,1930 p132,olio su tela,cm 65 x 49,no,cartellino adesivo in alto a sinistra con il numero d’archivio «P.132»,"collezione privata, Roma",,,,,"Restauro Antonio Rava, 1991.",,,,,,,131-132,"Recto:
Verso:
[Annunciazione], 1930-32
Numero d’archivio: 1930 p270
Tecnica: tecnica mista su tavola
Dimensioni: cm 72,7 x 53,5
Segni sul recto: no
Segni sul verso: cartellino adesivo in alto a destra con il numero d’archivio «P.270»
Collocazione: collezione privata, Roma
Esposizioni personali:
1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle
Esposizioni, Roma.
Bibliografia:
Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Enzo
Pinci, Roma 1932, sala XV, n. 9, p. 52.
Note:
In una foto conservata nel Fondo Di Cocco, presso l’Archivio E. Crispolti, è visibile la firma «Di
Cocco» in basso a destra, completamente cancellata dalle ampie ridipinture eseguite dall’artista
stesso, che hanno interessato l’intero dipinto, stravolgendone il disegno originale."
102,1930 p270,[Annunciazione],1930-32,1930 p270,tecnica mista su tavola,"cm 72,7 x 53,5",no,cartellino adesivo in alto a destra con il numero d’archivio «P.270»,"collezione privata, Roma",,"1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle Esposizioni, Roma.",,"Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Enzo Pinci, Roma 1932, sala XV, n. 9, p. 52.","In una foto conservata nel Fondo Di Cocco, presso l’Archivio E. Crispolti, è visibile la firma «Di Cocco» in basso a destra, completamente cancellata dalle ampie ridipinture eseguite dall’artista stesso, che hanno interessato l’intero dipinto, stravolgendone il disegno originale.",,,,,,,132-133,"Recto:
[La famiglia], 1930-31
Numero d’archivio: 1930 p106
Tecnica: olio su tavola
Dimensioni: cm 73 x 53
Segni sul recto: no
Segni sul verso: non noto
Collocazione: non nota
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Esposizioni collettive:
1988, Le Scuole Romane: sviluppi e continuità 1927 – 1988, Galleria d’Arte Moderna e
Contemporanea, Palazzo Forti, Verona (con il titolo Scena).
Bibliografia:
Le Scuole Romane: sviluppi e continuità 1927 – 1988, catalogo della mostra, a cura di Fabio Benzi,
Enrico Mascelloni, Roberto Lambarelli, De Luca Mondadori, Roma Milano 1988, ripr. p. 61;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 45.
Note:
L’opera viene datata intorno al 1930-1931 da Bucci (1991), diversamente dalla mostra di Verona
(1988) in cui si attribuiva la dazione al 1929, affermando come il tema delle figure poste in primo
piano con un paesaggio aperto sullo sfondo, ricorre a partire dal 1930 nella pittura dell’artista."
103,1930 p106,[La famiglia],1930-31,1930 p106,olio su tavola,cm 73 x 53,no,non noto,non nota,,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.","1988, Le Scuole Romane: sviluppi e continuità 1927 – 1988, Galleria d’Arte Moderna e Contemporanea, Palazzo Forti, Verona (con il titolo Scena).","Le Scuole Romane: sviluppi e continuità 1927 – 1988, catalogo della mostra, a cura di Fabio Benzi, Enrico Mascelloni, Roberto Lambarelli, De Luca Mondadori, Roma Milano 1988, ripr. p. 61;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 45.","L’opera viene datata intorno al 1930-1931 da Bucci (1991), diversamente dalla mostra di Verona (1988) in cui si attribuiva la dazione al 1929, affermando come il tema delle figure poste in primo piano con un paesaggio aperto sullo sfondo, ricorre a partire dal 1930 nella pittura dell’artista.",,,,,,,133-134,"Recto:
[Autoritratto], 1930 ca.
Numero d’archivio: 1930 p115
Tecnica: olio su tavola
Dimensioni: cm 70 x 55
Segni sul recto: no
Segni sul verso: non noto
Collocazione: non nota
Note:
Precedentemente presso Collezione Ovidio Jacorossi, Roma. Venduta nel 2020 tramite la casa
d’asta Babuino."
104,1930 p115,[Autoritratto],1930 ca.,1930 p115,olio su tavola,cm 70 x 55,no,non noto,non nota,,,,,"Precedentemente presso Collezione Ovidio Jacorossi, Roma. Venduta nel 2020 tramite la casa d’asta Babuino.",,,,,,,135,"Recto:
Verso:
[Ritratto di donna con bambino e cagnolino], 1930 ca.
Numero d’archivio: 1930 p119
Tecnica: olio su tela e interventi successivi con gessetti
Dimensioni: cm 72 x 61,2
Segni sul recto: no
Segni sul verso: cartellino adesivo in alto al centro con il numero d’archivio «P.119»
Collocazione: collezione privata, Roma
Note:
Nel Fondo Di Cocco presso l’Archivio E. Crispolti, è documentato l’intervento di restauro condotto
da Antonio Rava, finalizzato alla rimozione delle pesanti ridipinture apportate dall’artista stesso,
che avevano alterato l’assetto originario del dipinto."
105,1930 p119,[Ritratto di donna con bambino e cagnolino],1930 ca.,1930 p119,olio su tela e interventi successivi con gessetti,"cm 72 x 61,2",no,cartellino adesivo in alto al centro con il numero d’archivio «P.119»,"collezione privata, Roma",,,,,"Nel Fondo Di Cocco presso l’Archivio E. Crispolti, è documentato l’intervento di restauro condotto da Antonio Rava, finalizzato alla rimozione delle pesanti ridipinture apportate dall’artista stesso, che avevano alterato l’assetto originario del dipinto.",,,,,,,136-137,"Recto:
[Nudo di schiena], Anni Trenta
Numero d’archivio: Anni Trenta pc438
Tecnica: tempera su carta
Dimensioni: cm 35 x 25,5
Segni sul recto: «D.C.» in basso a destra
Segni sul verso: non noto
Collocazione: non nota"
106,Anni Trenta pc438,[Nudo di schiena],Anni Trenta,Anni Trenta pc438,tempera su carta,"cm 35 x 25,5",«D.C.» in basso a destra,non noto,non nota,,,,,,,,,,,,137,"Recto:
I pescatori, 1931-1932
Numero d’archivio: 1931 p319
Tecnica: olio su tavola
Dimensioni: cm 42,5 x 71,5
Segni sul recto: no
Segni sul verso: cfr. note
Collocazione: non nota
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 47.
Note:
Opera passata in asta Finarte, Roma il 14 novembre 1995. Bucci (1991) segnala il titolo dell’opera
sul verso della tavola (eseguito a matita) e la provenienza del dipinto da una collezione fiorentina,
che risulta acquistato durante il soggiorno dell’artista nella città toscana."
107,1931 p319,I pescatori,1931-1932,1931 p319,olio su tavola,"cm 42,5 x 71,5",no,cfr. note,non nota,,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 47.","Opera passata in asta Finarte, Roma il 14 novembre 1995. Bucci (1991) segnala il titolo dell’opera sul verso della tavola (eseguito a matita) e la provenienza del dipinto da una collezione fiorentina, che risulta acquistato durante il soggiorno dell’artista nella città toscana.",,,,,,,138,"Recto:
La bella e la bestia, 1931-1932
Numero d’archivio: 1931
Tecnica: olio su tavola
Dimensioni: cm 35 x 45
Segni sul recto: «Di Cocco/93(1)» in basso a destra
Segni sul verso: cfr. note
Collocazione: non nota
Esposizioni personali:
1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle
Esposizioni, Roma;
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Bibliografia:
Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Enzo
Pinci, Roma 1932, sala XV, n. 1, p. 52 (con il titolo La bella e la bestia);
Alberto Neppi, Alla terza mostra del Sindacato Laziale, la sala retrospettiva dello scultore
Canevari e le rassegne individuali, in «Il Lavoro Fascista», Roma, 12 marzo 1932;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 48 (con il titolo La bella e le bestie).
Note:
Bucci (1991) segnala il titolo dell’opera sulla targhetta apposta sul retro del dipinto in occasione
della mostra del 1932."
108,1931,La bella e la bestia,1931-1932,1931,olio su tavola,cm 35 x 45,«Di Cocco/93(1)» in basso a destra,cfr. note,non nota,,"1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle Esposizioni, Roma;
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.",,"Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Enzo Pinci, Roma 1932, sala XV, n. 1, p. 52 (con il titolo La bella e la bestia);
Alberto Neppi, Alla terza mostra del Sindacato Laziale, la sala retrospettiva dello scultore Canevari e le rassegne individuali, in «Il Lavoro Fascista», Roma, 12 marzo 1932;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 48 (con il titolo La bella e le bestie).",Bucci (1991) segnala il titolo dell’opera sulla targhetta apposta sul retro del dipinto in occasione della mostra del 1932.,,,,,,,139,"Recto:
Verso:
[Autoritratto], 1931-1932
Numero d’archivio: 1931 p271
Tecnica: olio su tela
Dimensioni: cm 62,5 x 45,5
Segni sul recto: no
Segni sul verso: in alto a sinistra a penna «1991» e timbro «Galleria Arco Farnese»;
cartellino adesivo in alto a destra con il numero d’archivio «P.271»
Collocazione: collezione privata, Roma
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro,
Galleria Narciso, Torino.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 46.
Note:
Bucci (1991) colloca il dipinto intorno al 1931–32 sulla base del confronto con fotografie
dell’artista dei primi anni Trenta e del riscontro fisionomico con l’autoritratto nel Riposo (cfr. 1932
p275), dal quale tuttavia si distingue per l’uso di tonalità più soffuse e meno brillanti."
109,1931 p271,[Autoritratto],1931-1932,1931 p271,olio su tela,"cm 62,5 x 45,5",no,in alto a sinistra a penna «1991» e timbro «Galleria Arco Farnese»; cartellino adesivo in alto a destra con il numero d’archivio «P.271»,"collezione privata, Roma",,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, Galleria Narciso, Torino.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 46.","Bucci (1991) colloca il dipinto intorno al 1931–32 sulla base del confronto con fotografie dell’artista dei primi anni Trenta e del riscontro fisionomico con l’autoritratto nel Riposo (cfr. 1932 p275), dal quale tuttavia si distingue per l’uso di tonalità più soffuse e meno brillanti.",,,,,,,140-141,"Recto:
[Paesaggio], 1931
Numero d’archivio: 1931 p299
Tecnica: olio su pannello
Dimensioni: cm 35 x 45
Segni sul recto: «Di Cocco» in basso a destra
Segni sul verso: non noto
Collocazione: Galleria Nazionale d’Arte Moderna e Contemporanea, Roma
Bibliografia:
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo
della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit,
Macerata 1984, ripr. n. 24, p. 16."
110,1931 p299,[Paesaggio],1931,1931 p299,olio su pannello,cm 35 x 45,«Di Cocco» in basso a destra,non noto,"Galleria Nazionale d’Arte Moderna e Contemporanea, Roma",,,,"Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit, Macerata 1984, ripr. n. 24, p. 16.",,,,,,,,141-142,"Recto:
La vita serena, 1932
Numero d’archivio: 1932 p301
Tecnica: olio su tela
Dimensioni: cm 88,5 x 142
Segni sul recto: «Di Cocco 32» in basso a destra
Segni sul verso: non noto
Collocazione: non nota
Esposizioni personali:
1984, Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, Chiesa
di S. Paolo, Pinacoteca e Musei Comunali, Macerata;
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Esposizioni collettive:
1932, XVIII Esposizione Biennale Internazionale d'Arte, Venezia;
1983, Gli artisti di Villa Strhol-Fern tra Simbolismo e Novecento, Galleria Arco Farnese, Roma;
1986, Roma 1934, Galleria Civica, Modena, Palazzo Braschi, Roma;
1988, Le Scuole Romane: sviluppi e continuità 1927 – 1988, Galleria d’Arte Moderna e
Contemporanea, Palazzo Forti, Verona.
Bibliografia:
XVIII Esposizione Biennale Internazionale d'Arte, catalogo della mostra, Officine Grafiche Carlo
Ferrari, Venezia 1932, sala XXXIV, n. 16, p. 120;
Gli artisti di Villa Strhol-Fern tra Simbolismo e Novecento, catalogo della mostra, a cura di Lucia
Stefanelli Torossi, presentazione di Antonello Trombadori, De Luca Editore, Roma 1983, n. 66,
ripr. p. 91;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo
della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit,
Macerata 1984, p. 15;
Roma 1934, catalogo della mostra, a cura di Giuseppe Appella, Fabrizio D'Amico, Edizioni Panini,
Modena 1986, pp. 169-170, ripr. p. 85;
Le Scuole Romane: sviluppi e continuità 1927 – 1988, catalogo della mostra, a cura di Fabio Benzi,
Enrico Mascelloni, Roberto Lambarelli, De Luca Mondadori, Roma Milano 1988, ripr. p. 62;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 49."
111,1932 p301,La vita serena,1932,1932 p301,olio su tela,"cm 88,5 x 142",«Di Cocco 32» in basso a destra,non noto,non nota,,"1984, Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, Chiesa di S. Paolo, Pinacoteca e Musei Comunali, Macerata;
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.","1932, XVIII Esposizione Biennale Internazionale d'Arte, Venezia;
1983, Gli artisti di Villa Strhol-Fern tra Simbolismo e Novecento, Galleria Arco Farnese, Roma;
1986, Roma 1934, Galleria Civica, Modena, Palazzo Braschi, Roma;
1988, Le Scuole Romane: sviluppi e continuità 1927 – 1988, Galleria d’Arte Moderna e Contemporanea, Palazzo Forti, Verona.","XVIII Esposizione Biennale Internazionale d'Arte, catalogo della mostra, Officine Grafiche Carlo Ferrari, Venezia 1932, sala XXXIV, n. 16, p. 120;
Gli artisti di Villa Strhol-Fern tra Simbolismo e Novecento, catalogo della mostra, a cura di Lucia Stefanelli Torossi, presentazione di Antonello Trombadori, De Luca Editore, Roma 1983, n. 66, ripr. p. 91;
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit, Macerata 1984, p. 15;
Roma 1934, catalogo della mostra, a cura di Giuseppe Appella, Fabrizio D'Amico, Edizioni Panini, Modena 1986, pp. 169-170, ripr. p. 85;
Le Scuole Romane: sviluppi e continuità 1927 – 1988, catalogo della mostra, a cura di Fabio Benzi, Enrico Mascelloni, Roberto Lambarelli, De Luca Mondadori, Roma Milano 1988, ripr. p. 62;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 49.",,,,,,,,142-143,"Recto:
Paesaggetto, 1932 ca.
Numero d’archivio: 1932 p113
Tecnica: olio su cartone
Dimensioni: cm 23 x 33
Segni sul recto: «Di Cocco» in basso a sinistra
Segni sul verso: cfr. note
Collocazione: non nota
Esposizioni personali:
1932, Terza Mostra del Sindacato Regionale Fascista Belle Arti del Lazio, Palazzo delle
Esposizioni, Roma;
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Bibliografia:
Terza mostra del Sindacato Regionale Fascista Belle arti del Lazio, catalogo della mostra, Enzo
Pinci, Roma 1932, sala XV, n. 30, p. 53;
Mario Verdone, Francesco Di Cocco, in «Terzocchio», anno XVIII, n. 1, Bologna, marzo 1992,
ripr. p. 27;
Mario Verdone (a cura di), Arti senza frontiere, Edizioni Bora, Bologna 1993, ripr. p. 56;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 52.
Note:
Bucci (1991) segnala una targhetta apposta in occasione della mostra romana del 1932, dalla quale
si ricava il titolo e la notizia che l'opera non fosse in vendita."
